CALENDAR DATE,CALENDAR TIME,trade_id,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/26/09,39959.34772,1,F2 ZN\M09,119.40625,11,1
05/26/09,39959.35078,2,F2 ZN\M09,119.4375,2,0
05/26/09,39959.35078,3,F2 ZN\M09,119.4375,10,0
05/26/09,39959.35425,4,F2 ZN\M09,119.4375,1,1
05/26/09,39959.35425,5,F2 ZN\M09,119.4375,1,1
05/26/09,39959.35425,6,F2 ZN\M09,119.4375,2,1
05/26/09,39959.35425,7,F2 ZN\M09,119.4375,5,1
05/26/09,39959.35832,8,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,9,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,10,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,11,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35836000001,12,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35845,13,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35845,14,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35845,15,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35845,16,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35846,17,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35846,18,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35849,19,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35849,20,F2 ZN\M09,119.40625,1,0
05/26/09,39959.3585,21,F2 ZN\M09,119.40625,6,0
05/26/09,39959.36234,22,F2 ZN\M09,119.421875,16,1
05/26/09,39959.36594,23,F2 ZN\M09,119.453125,1,0
05/26/09,39959.36957,24,F2 ZN\M09,119.453125,6,1
05/26/09,39959.37161,25,F2 ZN\M09,119.46875,1,0
05/26/09,39959.46576,26,F2 ZN\M09,119.140625,5,1
05/26/09,39959.46895,27,F2 ZN\M09,119.125,1,1
05/26/09,39959.46895,28,F2 ZN\M09,119.125,3,1
05/26/09,39959.47229,29,F2 ZN\M09,119.0625,4,0
05/26/09,39959.47229,30,F2 ZN\M09,119.0625,5,0
05/26/09,39959.47229,31,F2 ZN\M09,119.0625,3,0
05/26/09,39959.47229,32,F2 ZN\M09,119.0625,4,0
05/26/09,39959.47229,33,F2 ZN\M09,119.0625,2,0
05/26/09,39959.47229,34,F2 ZN\M09,119.0625,2,0
05/26/09,39959.47229,35,F2 ZN\M09,119.0625,6,0
05/26/09,39959.47924,36,F2 ZN\M09,119.0,1,0
05/26/09,39959.48271,37,F2 ZN\M09,119.0,2,1
05/26/09,39959.48966,38,F2 ZN\M09,118.96875,2,0
05/26/09,39959.49313,39,F2 ZN\M09,118.96875,1,1
05/26/09,39959.49657,40,F2 ZN\M09,118.96875,4,1
05/26/09,39959.49657,41,F2 ZN\M09,118.96875,3,1
05/26/09,39959.49657,42,F2 ZN\M09,118.96875,6,1
05/26/09,39959.49657,43,F2 ZN\M09,118.96875,4,1
05/26/09,39959.50426,44,F2 ZN\M09,118.984375,1,1
05/26/09,39959.50426,45,F2 ZN\M09,118.984375,1,1
05/26/09,39959.50427,46,F2 ZN\M09,118.984375,5,1
05/26/09,39959.50699,47,F2 ZN\M09,118.96875,2,0
05/26/09,39959.50699,48,F2 ZN\M09,118.96875,20,0
05/26/09,39959.51051,49,F2 ZN\M09,118.9375,1,0
05/26/09,39959.51393,50,F2 ZN\M09,118.875,3,0
